mssv,xeploai,ngaycapvb
2d49ac3cxpvaibaexe8cym7b6gx+tjct0zgg9nlj,giỏi,10/04/2018
e14f2356xpvaibaexe9mq7mbxxp/mwdcddkuxzqr,khá,10/04/2018
57c7c955xpvaibaexe+9gfx9awrorjfzpb5xmzka,khá,10/04/2018
0ef14ef0xpvaibaexe+p6zzp7rb5okuneayodu2c,khá,10/04/2018
4dd248d9xpvaibaexe+6mn9fow2mqelov0tjpgtd,khá,10/04/2018
ef1cc696xpvaibaexe/fejqn8/s5feirez4qsfjv,trung bình khá,10/04/2018
cc33262axpvaibaexe/hpk/kof6+1vzxmlbkhson,trung bình khá,10/04/2018
fe217971xpvaibaexe/k6d36/fqcewnmv5epzwoo,giỏi,10/04/2018
bd5769a2xpvaibaexe/fwksthrrdncikzfxvryva,giỏi,10/04/2018
a438e310xpvaibaexe8vekuw4elehh5jz8xkd+ce,khá,10/04/2018
4ec92ea7xpvaibaexe+5f3nhbx2eh0dmegx78u1l,giỏi,10/04/2018
d563be5expvaibaexe93peysajovk29beikxuhf+,khá,10/04/2018
f585674dxpvaibaexe93peysajovk6t3muzthkox,khá,10/04/2018
64e9fde3xpvaibaexe9hpqqhqoopystw/r4lohbb,khá,10/04/2018
4d645550xpvaibaexe+cd1fkelqxl9313y/yapxl,trung bình khá,10/04/2018
0fc485b7xpvaibaexe+lwq621apacwnsixsrdxsm,khá,10/04/2018
979a928axpvaibaexe/loccskaoio+majg9wgnrj,khá,10/04/2018
741a5568xpvaibaexe83v/kfvw2bbx1pd9yzofg+,khá,10/04/2018
50f45e0fxpvaibaexe+1j/aqdkpm28+w/hggnhn2,khá,10/04/2018
8850b56axpvaibaexe8y+/3ur2pktm01dracefoq,khá,10/04/2018
e907a4daxpvaibaexe+y5cb/5gt3mmetpei9uuce,khá,10/04/2018
9d53300dxpvaibaexe8ydgsbcmjqa2j6bqsrs7xs,khá,10/04/2018
fe47542bxpvaibaexe/zhdidegqctsubpstlconh,khá,10/04/2018
8270e1a1xpvaibaexe8wd3qnvg2b/bk87zihfke3,trung bình khá,10/04/2018
19fcf965xpvaibaexe/uh+ehskmsjs7xqgfrcn58,khá,10/04/2018
48d92f82xpvaibaexe8cym7b6gx+tqsl9buo6vgi,khá,10/04/2018
791cf17bxpvaibaexe9h45nafhfkylghedi2lhy1,khá,10/04/2018
920c35d4xpvaibaexe9/su+qlcydmuufi2r5aeyr,giỏi,10/04/2018
782f4d5expvaibaexe/bn5cqsu92wf+l+2eyy/lh,khá,10/04/2018
c5653867xpvaibaexe8wlx2/dthdavgnfazhddba,giỏi,10/04/2018
7dc76130xpvaibaexe9e+kue/nflislmsat5iod+,giỏi,10/04/2018
f0c15c4cxpvaibaexe/7sxkigc7f5yqxlj4ltyh9,trung bình khá,10/04/2018
270990b2xpvaibaexe/yxikgsgy0ssilt09wgo+h,khá,10/04/2018
06c6aad0xpvaibaexe+sfu1lch9y3zgrymrp1zmy,khá,10/04/2018
78c9ea49xpvaibaexe+vl6q6thz0nhalerxc2ara,khá,10/04/2018
2228c44bxpvaibaexe+vl6q6thz0npzhb2a6uthq,khá,10/04/2018
320b887axpvaibaexe+udhzq6i3zlfdlefbioubf,giỏi,10/04/2018
21f2c6c1xpvaibaexe97hu2rthdnnjky2oly/qxc,khá,10/04/2018
cd52678bxpvaibaexe97hu2rthdnnha5e5dkdc+d,giỏi,10/04/2018
