mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,tinhtrang,nambd
957b4c32xpvaibaexe+vudgg5hndv9dwos30ib0k,2001.0,0.0,gia lai,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
22e62b16xpvaibaexe+vudgg5hndv+7gzday0he8,2001.0,0.0,hồ chí minh,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
4eedd67cxpvaibaexe+vudgg5hndvy9ly7ufxmdf,2001.0,1.0,gia lai,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
59ed48cdxpvaibaexe+vudgg5hndvy/z7oreiaus,2001.0,1.0,hồ chí minh,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
4092e51expvaibaexe+vudgg5hndv6oeenu+4nov,2001.0,0.0,lâm đồng,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
fcc8bd0cxpvaibaexe+vudgg5hndvxdguvoi23hx,2001.0,1.0,bình thuận,ktmt2019,ktmt,cqui,14.0,d520214,1.0,2019.0
d6d3f154xpvaibaexe+vudgg5hndvxuvkkegey6a,2001.0,0.0,tây ninh,tmcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
77a9ab10xpvaibaexe+vudgg5hndvw5aaxqtsipi,2001.0,1.0,tây ninh,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
b4559377xpvaibaexe+vudgg5hndvzhrs0bleb5n,2001.0,1.0,đồng nai,mmcl2019.1,mmt&tt,clc,14.0,7480102,2.0,2019.0
ed80564axpvaibaexe8xn1ehxu1cb/hafcqugycv,2001.0,1.0,hồ chí minh,khcl2019.2,khmt,clc,14.0,d480101,2.0,2019.0
553d3d4bxpvaibaexe8xn1ehxu1cb9qhnipu7zta,2001.0,0.0,an giang,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
07a6bb91xpvaibaexe8xn1ehxu1cbwh2pthdj1dg,2001.0,0.0,an giang,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
fb11b48bxpvaibaexe8xn1ehxu1cb2bdhdbo4vcf,2001.0,0.0,bình phước,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
f3a51eb1xpvaibaexe8xn1ehxu1cby2c9mxd3re6,2001.0,0.0,quảng trị,khdl2019,kttt,cqui,14.0,7480109,1.0,2019.0
aff96eb0xpvaibaexe8xn1ehxu1cb3kl650k0vuh,2000.0,0.0,lâm đồng,atcl2019.1,mmt&tt,clc,14.0,d480299,1.0,2019.0
f6a701bcxpvaibaexe8xn1ehxu1cb7ib+nchvev4,2001.0,0.0,đồng nai,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
cbde287bxpvaibaexe8xn1ehxu1cb46fwfot+ewn,2001.0,1.0,khánh hoà,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
9f3f2973xpvaibaexe9j+wd+ah8cnfgxvqqcuspy,2001.0,1.0,gia lai,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
729949bexpvaibaexe9j+wd+ah8cni5i1mgybpuv,2001.0,1.0,đắk lắk,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
349e818fxpvaibaexe9j+wd+ah8cnjh444cehhm0,2000.0,1.0,bình thuận,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
36f565d1xpvaibaexe9j+wd+ah8cne5suqpdtnqr,2001.0,1.0,bình định,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
49b3a551xpvaibaexe9j+wd+ah8cnnwu6e23k4ye,2001.0,1.0,quảng ngãi,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
5d789003xpvaibaexe9j+wd+ah8cnoeirrtygwix,2001.0,1.0,hồ chí minh,mmcl2019.1,mmt&tt,clc,14.0,7480102,2.0,2019.0
7abcd585xpvaibaexe9j+wd+ah8cnhp9iokywtfo,2001.0,1.0,hồ chí minh,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
a08fd73axpvaibaexe9j+wd+ah8cnaf8rld01bc7,2001.0,0.0,ninh thuận,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
77867e07xpvaibaexe9j+wd+ah8cneqvj21zhzav,2001.0,0.0,an giang,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
f821023axpvaibaexe9j+wd+ah8cnhwle5bslzmb,2001.0,0.0,lâm đồng,tmđt2019,httt,cqui,14.0,d480104,1.0,2019.0
20862f68xpvaibaexe9mu9zmuyodkp+grymyztzh,2001.0,0.0,đắk lắk,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
e8c96540xpvaibaexe9mu9zmuyodkv5qyo375lfi,2001.0,0.0,quảng trị,khdl2019,kttt,cqui,14.0,7480109,1.0,2019.0
bfc2f255xpvaibaexe9mu9zmuyodkn7/eglcyflt,2001.0,0.0,gia lai,tmcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
465dfeffxpvaibaexe9mu9zmuyodktd3ur32hvfr,2001.0,1.0,thừa thiên - huế,ktpm2019,cnpm,cqui,14.0,d480103,1.0,2019.0
6568212axpvaibaexe9mu9zmuyodkswg59+swj5n,2001.0,1.0,đồng tháp,tmđt2019,httt,cqui,14.0,d480104,1.0,2019.0
81e29eedxpvaibaexe9mu9zmuyodkk5lhyysnfnf,2001.0,1.0,phú yên,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
383d2eabxpvaibaexe9mu9zmuyodkmmgea8ll4mv,2001.0,1.0,an giang,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
8fcf85bcxpvaibaexe9mu9zmuyodkk2f9tu40dg4,2001.0,1.0,hồ chí minh,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
246605b7xpvaibaexe83rugso94cq7o100exiucz,2001.0,1.0,sóc trăng,khdl2019,kttt,cqui,14.0,7480109,1.0,2019.0
5c86d4e1xpvaibaexe83rugso94cq8vircbqskx9,2001.0,0.0,kiên giang,atcl2019.2,mmt&tt,clc,14.0,d480299,1.0,2019.0
5ff24b6cxpvaibaexe83rugso94cqzr8j7woegsk,2001.0,1.0,an giang,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
5cb73954xpvaibaexe83rugso94cq0g2+r0c3gw2,2001.0,0.0,gia lai,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
