mssv,tinhtrang,hocky,namhoc
e3b61324xpvaibaexe+e43ovk5cnp3vn23jdqpxu,2.0,2.0,2016.0
fdbf2427xpvaibaexe+lbmstuwvmun7/piywu437,2.0,2.0,2016.0
61465a87xpvaibaexe/bly1wus+nvo66unttpac6,2.0,2.0,2016.0
de53507fxpvaibaexe+feaefw3o+ko6tvtsgijy3,2.0,2.0,2016.0
c1c2d49cxpvaibaexe+5aeinm7he3lyo4yh3wzso,2.0,2.0,2016.0
8219ea1dxpvaibaexe/pgaannwvbuawbugiapcg8,2.0,2.0,2016.0
9a277123xpvaibaexe9x5bpekoa0mmvf3uziq5oi,2.0,2.0,2016.0
2c674c46xpvaibaexe8y+/3ur2pktognxs8ofvnz,2.0,2.0,2016.0
6f3c0d69xpvaibaexe+y5cb/5gt3mg008osd7bbm,2.0,2.0,2016.0
6414f481xpvaibaexe/7sxkigc7f53kmbmgfvhcx,2.0,2.0,2016.0
07604f47xpvaibaexe+6mn9fow2mqqgwnvqnrjxt,2.0,2.0,2016.0
639ecee5xpvaibaexe8wmpkqnq7j6i/wuwdle4gg,2.0,2.0,2016.0
931c7551xpvaibaexe9ystifngomwrbirvzkrprw,2.0,2.0,2016.0
6777a5a5xpvaibaexe/bqa0y8r3trzdcjoow2geh,2.0,2.0,2016.0
baa21e56xpvaibaexe9xnw4t0gpgx5ergjwy9ide,2.0,2.0,2016.0
5ea0e379xpvaibaexe9xnw4t0gpgx3zlzmzrjta6,2.0,2.0,2016.0
d6da2754xpvaibaexe9tdh69vvzt14bfenmelpa0,2.0,2.0,2016.0
d7df9f37xpvaibaexe9tdh69vvzt11dfss5c1fsb,2.0,2.0,2016.0
1d7f955bxpvaibaexe9phs03bfe3hc3h70o4nknm,2.0,2.0,2016.0
28a90bb1xpvaibaexe/1obfbwrsd54ynwsleawum,2.0,2.0,2016.0
c17539fcxpvaibaexe8zbelfimmobks0ttkqyagb,2.0,2.0,2016.0
aaf7f152xpvaibaexe/baiw3k4hkfzl+wq31fvga,2.0,2.0,2016.0
44b9604axpvaibaexe+tzke2gc8nulcepwlizo6k,2.0,2.0,2016.0
76271014xpvaibaexe/twrxaq444cxlmvsdyog/9,2.0,2.0,2016.0
78dfd992xpvaibaexe9hxpb1pepyfyixglgwpqu3,2.0,2.0,2016.0
8868ba3cxpvaibaexe/a3pm8ap2ngzzz29oxd9/5,2.0,2.0,2016.0
6f81a5d5xpvaibaexe8yzz/8qutgdswpb4ctni4b,2.0,2.0,2016.0
c9370ac9xpvaibaexe/eckq6i30zsv1ttdla2dnf,2.0,2.0,2016.0
282ca119xpvaibaexe9dkitjhf3qts8bwsvwumgw,2.0,2.0,2016.0
9b210894xpvaibaexe+f+2tzheifcc7vgnpocamu,2.0,2.0,2016.0
8c577ad6xpvaibaexe9tsnflfdewas/1n+smw3yd,2.0,2.0,2016.0
2b578231xpvaibaexe9rv3kg6cpldammozuvjmwr,2.0,2.0,2016.0
52e76e98xpvaibaexe8n6ffpptvzupy7ottzd05e,2.0,2.0,2016.0
bf5375eaxpvaibaexe/u5lsbganj86bcvphmelkf,2.0,2.0,2016.0
331b663expvaibaexe/iikjq57vd78ghuwyfkhxy,2.0,2.0,2016.0
b5e277f2xpvaibaexe9kg2or8zvk3qprq27fino0,2.0,2.0,2016.0
4d09d127xpvaibaexe8pr9lkerucfs4ybav4fa0f,2.0,2.0,2016.0
737325adxpvaibaexe/f8uibt+n0t7zt5670dhft,2.0,2.0,2016.0
50e7822bxpvaibaexe9mjvtuymji9igox79k0ulf,2.0,2.0,2016.0
2fce0d1dxpvaibaexe+4xppxlkrz0gvlqkh+fnrg,2.0,2.0,2016.0
97db8803xpvaibaexe9d+re/yvwokgk9zilro4my,2.0,2.0,2016.0
8832c80axpvaibaexe/d4nfnihfaqo6ecqaramuh,2.0,2.0,2016.0
8391c626xpvaibaexe+ghnk19bpqc3aysdea67w7,2.0,2.0,2016.0
