mssv,xlhv_1,xlhv_2,xlhv_3,xlhv_4,xlhv_5,xlhv_6
51e91e7dxpvaibaexe9euo2qxch07qy82tktseja,0,0,1,1,1,1
523fc174xpvaibaexe+0dwp+qxloyiscejfvmgyz,0,0,0,0,1,1
52e76e98xpvaibaexe8n6ffpptvzupy7ottzd05e,0,0,0,1,2,3
53ed17c2xpvaibaexe9n6m+kqhqu8mur98djl0ve,0,0,0,0,1,2
555c9700xpvaibaexe/huuivo8ucry5sjhacmu89,0,0,1,2,2,3
5589f298xpvaibaexe/pnxuiwmjhjkzrdhnrxktn,0,0,0,0,0,1
55b3040axpvaibaexe8nucevwxzmu3dvkkgdf3mq,0,0,1,2,2,3
55e029baxpvaibaexe8sxrohzbxms8mzuqnd4qx0,0,0,0,1,2,2
561acd15xpvaibaexe8n6ffpptvzurku5ytrz+dl,0,0,0,0,1,2
5620cb58xpvaibaexe8gdasstpmlxj1joeliu63e,0,0,1,1,2,3
569d92e9xpvaibaexe8o0tnwwz3u3zg4fhgcygym,0,0,0,1,2,3
56bd6434xpvaibaexe/a4dmmdlc8uel9for+tsgj,0,0,1,1,2,2
572b42bcxpvaibaexe+si2uhc5cmetdwxvwfkdf2,0,0,0,0,1,1
57cc6f79xpvaibaexe/nw3dhnqnhf87snxdmglc7,0,0,1,2,2,2
57d87db5xpvaibaexe+ee/bnoydjskfgapkk8t+o,0,0,1,1,1,1
58866649xpvaibaexe+p5wobbwd0m1lt7kmwf5su,0,0,0,1,2,2
59078061xpvaibaexe9tdh69vvzt1+ti0ctwxx8h,0,0,0,0,0,1
590c5a22xpvaibaexe/5sy0p9d9+eifjn53f5ry7,0,0,0,0,0,1
5920928bxpvaibaexe9nzbs7fjgawy8djbihaeuf,0,0,0,1,1,1
59a6c631xpvaibaexe8p7+qblh7hjvf8gpgwzwhy,0,0,0,1,2,2
59d90864xpvaibaexe84or/xkbcpmdyo8m9h+tew,0,0,0,1,2,2
59e3efa9xpvaibaexe/8x6gsb95yigzozx+fp5pi,0,0,0,0,1,1
59edc357xpvaibaexe9iepfiqz9mxutittbxsfxw,0,0,0,1,1,1
5a5fcfa8xpvaibaexe+cd2dfyrnot7wmlqmvy39o,0,0,0,1,1,1
5a8bd1d0xpvaibaexe/wiuwn3fbmgmqsu6paorkx,0,0,0,0,0,1
5af5d0f6xpvaibaexe+chxm5chw4wqrwd4vaexvu,0,0,0,0,0,1
5b8e4ad4xpvaibaexe+pzu+khqbqyuxl8hfv89dk,0,0,0,0,0,1
5bb2616axpvaibaexe+djyplaxkux+vztes+v3ma,0,0,1,1,1,1
5bd0faa3xpvaibaexe/gydlukvkbtenxysdctxlc,0,1,1,1,1,1
5bd9c85expvaibaexe92hfjddfybwxozyf9bciqb,0,0,1,2,2,2
5bfcbadbxpvaibaexe9wkeultvpyd98w5ybuext1,0,1,2,2,2,2
5c97ee80xpvaibaexe+e2tivvtphofjof9gwxx+j,0,0,1,1,1,1
5d554db1xpvaibaexe+eyzjphisy857zuvkqpntr,0,0,1,1,1,1
5d6c330dxpvaibaexe+tzke2gc8numrwpma+pq4c,0,0,0,0,0,1
5d789003xpvaibaexe9j+wd+ah8cnoeirrtygwix,0,0,1,1,1,1
5dd5f416xpvaibaexe/nv6pz4rt50kwnvsbchl0f,0,0,0,0,0,1
5de3f10bxpvaibaexe9tsfvy3ugugactxynibrvs,0,0,1,1,1,1
5e056160xpvaibaexe/umsx+yo/cn1guczu4xrvw,0,0,1,1,1,1
5ed1a031xpvaibaexe+gnarchabwr8y3uffczkyp,0,0,0,1,2,3
5f67cf31xpvaibaexe+gzqv7yqrybshqfvzkjiub,0,0,1,1,1,1
601b1b7axpvaibaexe/rtk4wdmxi98yppyv4mpna,0,0,0,0,0,1
608fe5cbxpvaibaexe+e43ovk5cnpwma3i5ad7zg,0,0,0,0,0,1
60eddf4fxpvaibaexe8kujneatws81d6twaf+bsv,0,0,1,2,3,3
60f6247expvaibaexe8cwh5hvembzm+ymkj3jvlt,0,0,0,0,0,1
61180195xpvaibaexe9gcllhjlbbnr5wpou3apq+,0,0,1,1,1,1
61465a87xpvaibaexe/bly1wus+nvo66unttpac6,0,1,2,2,2,2
61b6bdb1xpvaibaexe81w9evvyp+l9cb1mmqe68y,0,0,0,1,2,3
61f9bd19xpvaibaexe8ptkrjyotmh4ktprpzmqsf,0,0,0,0,0,1
62291c90xpvaibaexe/cjxaw79civtn0euknrz04,0,1,1,1,1,1
628fbfc9xpvaibaexe/eckq6i30zsofemthq6vlx,0,0,0,0,0,1
62a950a6xpvaibaexe8yzz/8qutgdv/tdzlof+yc,0,0,0,0,0,1
62bffe2expvaibaexe/9ugxkuzclfpe37bsuxsyd,0,0,0,0,1,1
62cb9074xpvaibaexe+5aeinm7he3lqjjwdeakvg,0,0,1,1,1,1
62f3c56expvaibaexe/jkysbfnj8il4sue5mdkrl,0,0,0,0,0,1
631c72c9xpvaibaexe/xn91tbwvndxh/yahoqjwg,0,1,1,1,1,1
6321eb33xpvaibaexe+fpsoag5letxtsqe66tjtg,0,0,0,1,1,1
64fbbab2xpvaibaexe84or/xkbcpmy+r/v0ab3px,0,0,0,0,0,1
655d3509xpvaibaexe+tzke2gc8nup5zkp7ypfiy,0,0,0,0,0,1
657f855fxpvaibaexe9ktkrxs1nj3ie83cuoqsxv,0,0,0,1,1,1
65a8ce1expvaibaexe+tg0ae8qw/gqdz/d+/k6ii,0,0,0,0,0,1
65ee524dxpvaibaexe/aceoi5e1mark2vdzxftiz,0,0,0,0,0,1
668068e2xpvaibaexe/vttmkh7juokfzkul+030e,0,0,0,0,0,1
66c7067dxpvaibaexe8enouoh243g0boy5+gdzi7,0,1,1,1,1,1
6737e007xpvaibaexe+sgbkufuin7cgz+zmghwif,0,0,0,0,1,1
673dfb3fxpvaibaexe+pvabtvmwztm2cbdlr9odw,0,0,1,2,3,3
675617c3xpvaibaexe9rbqr8nwnz2ffm+aneidyx,0,0,1,2,3,3
6767e861xpvaibaexe87cfnqlcor2xagc719vacl,0,0,1,1,1,1
67a51dc3xpvaibaexe/7yvaxosmwotcfvkineq0e,0,0,1,1,1,1
67c24b91xpvaibaexe/t9ok6w7d83yab0zt0cril,0,0,0,1,2,3
67d20ebbxpvaibaexe/j0r+jn9xewaahlquekuv4,0,0,1,2,2,2
67e2f52dxpvaibaexe8wxpcntbnystymnb/0jts9,0,0,0,1,1,1
688ad0f0xpvaibaexe+a3tjfwxprolqpmwwz78oz,0,0,1,1,1,1
68a9f6e0xpvaibaexe+wjq/eosknhsffr3hqfjz7,0,0,0,0,0,1
68ce8bf0xpvaibaexe9rbno8knvpdzbp8fukr2+8,0,0,0,0,1,1
69634bdaxpvaibaexe+gzqv7yqrybnf+adhgv386,0,0,0,0,0,1
6975d013xpvaibaexe9zkqy6ucuvgnva4zthklzf,0,0,1,2,2,2
6a128b00xpvaibaexe8ebn4ywa8yuzfsewy1dhco,0,0,0,0,0,1
6a58fa75xpvaibaexe+lovcofflpomoydtk9megh,0,0,1,2,2,2
6af26f27xpvaibaexe/75frwbkqtnwptk5rw+sjw,0,0,1,2,2,2
6b28a11bxpvaibaexe9+dt4frtt+q1ujopb6zt9x,0,0,0,0,1,2
6b364036xpvaibaexe/xopuzjjlegaipz7jpcov9,0,0,0,0,1,1
6b7ba980xpvaibaexe/4yh02bdnytluw+p9up/+k,0,0,1,2,2,2
6b9f848fxpvaibaexe/kvw+jfxjb/kb041vqwqww,0,1,2,2,2,2
6c2cb01dxpvaibaexe/thzsgycyugkcx4f+bd9as,0,0,1,2,2,2
6d3c6b7cxpvaibaexe+ralerolzghyxwh+rizcay,0,0,0,1,1,1
6d9b477axpvaibaexe+7ulwsh9xvqgynbqw4mvnw,0,0,0,0,1,1
6de3da07xpvaibaexe+si2uhc5cmeymte/fcwe7t,0,0,1,1,1,2
6e1ec6e3xpvaibaexe+xw+0gojor0arvnoutmoxn,0,0,0,0,0,1
6e786189xpvaibaexe9n+b7c2vgps5hgjfnp9ope,0,0,1,1,1,1
6ea715e1xpvaibaexe9estqu9oocifrpc/9jwyjr,0,0,0,1,2,2
6ec9b467xpvaibaexe+g4b5cywzjwzvd7kcf00e1,0,0,1,1,1,1
6ee844f3xpvaibaexe/yg42d1b4hlm0ux0bhino5,0,0,0,1,1,1
6f81a5d5xpvaibaexe8yzz/8qutgdswpb4ctni4b,0,0,0,0,0,1
6f9bed37xpvaibaexe9a9whb728zib4h7e7ytzjq,0,0,1,2,2,2
6fb8c971xpvaibaexe8zjuwfavbr9syz83phzpbu,0,1,2,3,3,3
70e6860fxpvaibaexe8ak9bjf0pqfpqpg9mpvs2v,0,0,0,0,1,1
713e3aabxpvaibaexe/v63kviwwaknvf8ow+bdlu,0,0,0,1,1,1
724f0583xpvaibaexe+3hdjf+k3bywtf4+snzcrb,0,0,1,2,2,2
72af62a1xpvaibaexe+1qnc7laco/fusp6/gndcd,0,0,1,1,1,2
72d38c50xpvaibaexe9xlm9bjmqfktefv4i4s1d+,0,1,2,2,2,2
72e7eb49xpvaibaexe/ueorkxzagrln2sowdqesy,0,1,2,2,2,2
7320a91expvaibaexe/eckq6i30zsh+h6g9bggsf,0,0,0,1,2,2
73283126xpvaibaexe+tsa7t7usljyr+4jqyh/zi,0,0,0,0,1,2
733bea2fxpvaibaexe+hel85qgo03sv+zdvcq1yv,0,0,0,1,1,1
737325adxpvaibaexe/f8uibt+n0t7zt5670dhft,0,0,0,1,2,2
737e06f3xpvaibaexe/cipillltjf2tjcgiyewfr,0,0,0,1,1,1
73ab42fbxpvaibaexe+laxehdaaonn8khcuz6vwe,0,0,1,1,1,1
73b86ff6xpvaibaexe/zkcdd4jxtlistzdamfyjy,0,0,1,1,1,1
7407d08dxpvaibaexe+nqszrbbpdt+s094rsynjl,0,0,0,0,1,1
7414861dxpvaibaexe/nq24gaz1feadgeogpyrsv,0,0,0,0,1,1
742b1e08xpvaibaexe8qxkhwixudakb8z+/8qlwv,0,0,1,2,2,2
74374c5bxpvaibaexe+nnqrni1k9jmk0ywiq/nck,0,0,1,2,3,3
74faa182xpvaibaexe/esoa28kztdiyieykrfinm,0,0,1,2,2,2
751c5cd8xpvaibaexe8ooiz7qg2et/mgige5xlta,0,0,0,0,0,1
751cc854xpvaibaexe/liv6qehs+zyjewbyy8ru+,0,1,2,2,3,3
755d1c40xpvaibaexe+72vl6t/d8gae2ifmqhnq6,0,0,1,1,1,1
7561f2b2xpvaibaexe8091b3eu2czi9jzus/7s2i,0,0,0,0,1,2
75e7ff8cxpvaibaexe/w5gzwsm37/+refycqit7t,0,0,1,1,1,2
76271014xpvaibaexe/twrxaq444cxlmvsdyog/9,0,0,0,0,0,1
762cdbf5xpvaibaexe/cay9n2snhgl2njcff1prs,0,0,0,0,0,1
76497f14xpvaibaexe+p5wobbwd0m4k8duzy96oe,0,0,0,1,2,2
76e059d3xpvaibaexe+qkogrj4dtvtdxf5/f9lbx,0,0,1,2,2,2
772227f1xpvaibaexe9ujnppeyi4ux3eczsjtg3q,0,0,1,1,1,1
77687df8xpvaibaexe/pmlswv14ojjtwwinezmuo,0,0,1,2,2,2
779568e5xpvaibaexe++r9hzjt1s79wrsgq5d4ek,0,0,0,0,1,1
77c65ab4xpvaibaexe9kwpgoh3zhl17zuy0xehsc,0,0,0,1,1,1
77e79cedxpvaibaexe+v5svysgrzwoj2ikmecuz/,0,0,0,1,2,2
782c708bxpvaibaexe+f+2tzheifcvtckgsfyql1,0,0,0,0,1,2
786cbbc1xpvaibaexe8qgrlcblbl2u4+2kw/oa4i,0,0,0,1,2,3
789be82dxpvaibaexe/nrwqjpac0mh7z5b/f4f4y,0,0,0,0,0,1
789c02aaxpvaibaexe+/1kyxp+fwek/y54tvf704,0,0,1,1,1,1
78dfd992xpvaibaexe9hxpb1pepyfyixglgwpqu3,0,0,0,0,0,1
790a7a3dxpvaibaexe9dy3g0pb8xokittaxvtoyl,0,0,0,0,0,1
79df0dd4xpvaibaexe9rxq3eqecngd5g/qr26mng,0,0,0,1,2,2
7a2f5acexpvaibaexe9j81k8mh0ojwqphwe8hv+i,0,0,0,0,0,1
7a877b93xpvaibaexe/dmvqguzybhkb1sk3fzsov,0,0,0,0,0,1
7a8986f1xpvaibaexe8+y7c9z9giq9ytsf4hygk4,0,0,1,1,1,1
7a89e59expvaibaexe8dbqman7rghplqkqza+ep0,0,0,0,0,1,1
7ae5672axpvaibaexe+jqfayvnobxiaqozgtztid,0,0,1,2,2,2
7afd7535xpvaibaexe8y6/rmxzrwbxih5hexe283,0,0,0,1,1,1
7b04c5e3xpvaibaexe+em+qhkpgqwo/z8tihhufy,0,0,1,2,2,2
7b7481f4xpvaibaexe92yz7kcyizxuqy61ddvxov,0,1,2,2,2,2
7c453d70xpvaibaexe9yyf5fmcfolbldzwtgbyoi,0,0,0,0,1,2
7ca35a03xpvaibaexe/cjxaw79civjnf7zwnluzo,0,0,1,2,3,3
7cb9fc96xpvaibaexe9wctnuikkykhwcw6m7z4ne,0,0,0,1,1,1
7cc27621xpvaibaexe8dsw93dhiodnct+x8mhrcl,0,1,2,2,2,2
7cd02a9fxpvaibaexe+g4b5cywzjwcj8tsg91yaq,0,0,1,1,1,1
7ce0e656xpvaibaexe8jnpgmw2c4udy5kyrmobl5,0,0,0,0,0,1
7d6aed70xpvaibaexe9dy3g0pb8xomkqafr7puuq,0,0,0,0,0,1
7d7633b0xpvaibaexe95ihrkysgfccqvgm4nfgyt,0,0,1,2,2,2
7e297529xpvaibaexe80crbkbdr5tyjcmntf6qpl,0,0,0,0,0,1
7e5b4b7dxpvaibaexe/x5zhfzi36lnpo7aem0npx,0,0,0,0,1,1
7e8bc1efxpvaibaexe+dmotnufi9lwoyhs5uveu+,0,0,0,0,1,1
7e990c2expvaibaexe9whl/t4cdmzaqmm5bdjcos,0,0,0,0,0,1
7ee1cd5fxpvaibaexe/ekiy6f5fd8iavxfaxkrns,0,0,0,0,1,1
7f1cf6c5xpvaibaexe9dy3g0pb8xofot2yaylqvy,0,1,2,3,3,3
7f1cfa40xpvaibaexe9qltw0miqvite2pm8f59ik,0,0,1,2,2,2
7f1ef887xpvaibaexe/erksrs1wgeazcbqlcmuhk,0,0,0,1,2,2
7f57e0caxpvaibaexe9cjmvsz9p34gsfnycrxpl4,0,0,1,1,2,3
7f620e6axpvaibaexe+nnqrni1k9jgdo38ucjdck,0,0,0,1,2,3
7fbd0513xpvaibaexe+ltcxpm838vaxt1zhb2ina,0,0,0,0,0,1
80472ccexpvaibaexe828ep1j4avvczok1++39jr,0,0,1,1,1,1
80603101xpvaibaexe+ps8zyokgtswwsdkd2ddts,0,0,1,1,1,1
80dc25adxpvaibaexe9djwuq+cta8tj0gcpyeakf,0,0,0,1,2,2
8136d1c7xpvaibaexe9rbno8knvpdylhjwamh4f3,0,0,0,1,1,2
814a1338xpvaibaexe8utlk0ua6niblpjs1dpks5,0,0,1,1,1,1
81a16e02xpvaibaexe98rlbmbw9wwzyzqql2y9vw,0,0,1,1,1,1
81b56530xpvaibaexe9syd7vfew2qe4ldpkmcxew,0,0,0,0,1,1
81dd8f95xpvaibaexe+ps8zyokgtsdyq8mhvnr6u,0,1,2,3,3,3
825f4dbbxpvaibaexe/el9trakm7gzngnre3iexp,0,0,1,2,2,2
825fa3f2xpvaibaexe/wm5trbbcdmw1yuepwojx3,0,0,0,0,0,1
826fa2c3xpvaibaexe9ygnnr0jxphz0g/j/fbtq4,0,0,0,1,2,2
8278e218xpvaibaexe98bewemyja5svazcv7xa6i,0,0,1,1,1,1
829b9071xpvaibaexe91ucttbryag0wndqn7ao3g,0,0,0,0,0,1
82ac5317xpvaibaexe+qnco6wu+o6nd8gflrub4k,0,0,0,1,1,1
82f358d5xpvaibaexe+pxorfe/k8ceqsgf32nc9q,0,0,0,1,1,1
83302eadxpvaibaexe9q2mcsucintqyf3w5qe4hy,0,0,0,1,1,2
8391c626xpvaibaexe+ghnk19bpqc3aysdea67w7,0,1,2,2,2,2
83be0e42xpvaibaexe8qgrlcblbl2ntqfy9hakuj,0,0,1,2,3,3
83c48dc7xpvaibaexe8ixn+mv9wqkkaswm7lxemz,0,0,0,0,1,1
8405ab7axpvaibaexe8csuzma4ok0sccokpnzj1+,0,1,1,1,2,3
840bdcbdxpvaibaexe8pno0mp3gnin1vxz4xdtfg,0,0,1,2,2,2
843e09d5xpvaibaexe+wvosof63ssa/smccbpheo,0,1,2,2,2,2
844ba991xpvaibaexe8zqb/g2cpypmy8efwe0kzt,0,0,0,0,0,1
84b07d27xpvaibaexe/8x6gsb95yiewmebrsaf9f,0,0,0,0,1,1
850c19c2xpvaibaexe9gcllhjlbbnzc5o6smc8cs,0,0,1,1,2,2
850d0b08xpvaibaexe8p0shbvugo+kumddafojva,0,0,0,0,0,1
852ab6fbxpvaibaexe9zvzkastz09jfwdhfb+dyv,0,0,0,1,1,1
854baca2xpvaibaexe/mfnbyxh05b03wvm7utjgr,0,0,0,0,1,2
8575bce8xpvaibaexe+t+pdylenbrq6k/k7kla6s,0,0,1,2,2,2
85765f51xpvaibaexe/7vxm0xgxldmr8ijn1d/nl,0,0,0,0,1,1
85ae4ea5xpvaibaexe8pno0mp3gnilgaxs5qkla3,0,0,0,0,1,2
86053f82xpvaibaexe81r7krch0uc8qhbnpgnt/a,0,0,0,0,0,1
86589374xpvaibaexe/lq24vwkc+lk7ahddktcpt,0,0,1,2,2,2
86d95ef1xpvaibaexe+wnahzenc8ynp88+vlxs5+,0,0,1,1,1,1
870788f3xpvaibaexe/7kkas8/f9rv/4pgrm1bpg,0,0,0,0,1,1
8746d01expvaibaexe+ralerolzghyncx5axfxis,0,0,0,1,1,1
882fb1b0xpvaibaexe8y6/rmxzrwbebw/cemiajk,0,0,0,1,2,2
8832c80axpvaibaexe/d4nfnihfaqo6ecqaramuh,0,0,0,1,2,2
8868ba3cxpvaibaexe/a3pm8ap2ngzzz29oxd9/5,0,0,0,0,0,1
889fc773xpvaibaexe/+5dmthxoxmvdewu0+1hyl,0,0,0,1,1,1
88aa1631xpvaibaexe8g+dn2/i3pr7phrrx6ocid,0,0,0,0,1,2
891f156cxpvaibaexe/wvgrdnvcyf5jlokwpgxly,0,0,0,1,1,1
893a5314xpvaibaexe/yd5khqdzvkbpe+nw2oklv,0,0,1,2,2,2
899aad5axpvaibaexe/cezixfrxnlapg3oqjso8g,0,0,1,1,1,1
89dfb71cxpvaibaexe+4eteamtjzhm+kz/jm89jm,0,0,1,1,1,1
8a06bcb7xpvaibaexe+/1kyxp+fweafbwbyeldhp,0,0,0,1,2,3
8a09d1dfxpvaibaexe/kmtcr6bhausp9eatq9iqh,0,0,0,0,0,1
8a73c0a4xpvaibaexe9uaaz/yedhvg4ke7hp5cvh,0,0,1,2,2,2
8aa98ad2xpvaibaexe8m37suqoe4czpslxtwe9xx,0,1,2,2,2,2
8ab125a2xpvaibaexe9gjazs/pdnmz2phhoaazsg,0,0,1,1,1,1
8b274f66xpvaibaexe+tsa7t7uslj3r6xgtundy+,0,0,1,2,2,2
8b6b6b01xpvaibaexe9puzayruocky5siobrpyev,0,0,1,1,2,2
8b9dd5f1xpvaibaexe/7vxm0xgxldiyndzaf66fa,0,0,1,1,1,1
8c577ad6xpvaibaexe9tsnflfdewas/1n+smw3yd,0,0,0,1,1,2
8c88fe6expvaibaexe86shnmdbyrm22zyhzfdrss,0,0,0,0,0,1
8ce77ecbxpvaibaexe/d4nfnihfaqqfh76bzfxpr,0,0,0,1,1,1
8d2f7d47xpvaibaexe+k2gcw0rzzlw/9hi+mqcpv,0,0,0,1,1,1
8d960c00xpvaibaexe+4xppxlkrz0g+sqo8p+6po,0,0,0,0,0,1
8dd2e6eexpvaibaexe+72vl6t/d8ganddocq3/hg,0,0,0,1,2,3
8deee6b7xpvaibaexe+k2gcw0rzzlarflldgczmw,0,0,0,1,2,2
8df80dc7xpvaibaexe+ghnk19bpqc2hzcxrgb6j1,0,0,1,1,1,1
8e862257xpvaibaexe86sben0/yctscv+fsbuwvo,0,0,1,2,2,2
8edf0cbcxpvaibaexe+eiy6tmcszu0mu7wa7hwrc,0,0,1,1,1,1
8f1119d3xpvaibaexe/04iiik7okbcgswyeifmkt,0,0,1,2,2,2
8f5fef7axpvaibaexe/wtr5ugsyutkvkihrpcmsn,0,0,1,2,2,2
8f64d58fxpvaibaexe9wgatiml02lhpk6dke3g6h,0,0,0,0,1,1
8fba7352xpvaibaexe+a+6mrsshfh2znazayp3oa,0,0,0,1,1,1
907f091fxpvaibaexe+6mzawgr2agr6xb6ncltgq,0,0,0,1,1,1
90b4c053xpvaibaexe/iikjq57vd74vq3bu9fhva,0,0,0,1,2,2
91061907xpvaibaexe+n07p56kwx2is7/sk+fjvn,0,1,1,1,1,2
91090a58xpvaibaexe/twrh8x8eyg72wdhvxbsqi,0,0,0,0,0,1
9146b955xpvaibaexe+kaiyhkmxycewo76yr1cwf,0,0,1,1,1,1
91bf9650xpvaibaexe+69u8i0r94eua0ex/wkmb+,0,0,1,1,1,1
92272147xpvaibaexe+9uxuadizyiegtd12yvczw,0,0,0,0,1,2
9236689dxpvaibaexe9ygnnr0jxphvxfvg9a0ynj,0,0,0,1,1,1
937338dfxpvaibaexe/3z2k7mha0jwd7iecx0cfz,0,0,0,1,1,1
93db83a1xpvaibaexe+fw1bg/roenik8qwl1us6q,0,0,1,2,2,2
94be2cbfxpvaibaexe+3bwvxnzrrwadobx0jk62+,0,0,0,0,0,1
95200ec7xpvaibaexe+zcbazes7yiqw0mlrivq1d,0,0,0,0,1,2
952ccdb3xpvaibaexe+g+689av0wqxjr/4g6pbab,0,0,1,2,2,2
95921b9cxpvaibaexe+sgbkufuin7o+pecbjlp5n,0,0,0,1,1,1
95a27658xpvaibaexe+l4+qemj/l9qonfj/kpse7,0,1,2,2,2,2
95b48f1dxpvaibaexe92/fvkjtosoy7msvuabv9a,0,0,1,1,1,1
9602d38fxpvaibaexe+23ctkf8qtd7zkm/8z9cwc,0,0,0,1,1,1
9643c165xpvaibaexe/0w4kdben431/6v6m74k/g,0,0,0,1,2,3
966045e9xpvaibaexe+fpsoag5letv364e+7hhg8,0,0,0,1,2,2
96fe9a69xpvaibaexe+t618nkwp4eytzvseab05z,0,1,2,3,3,3
9743cabexpvaibaexe+ygniciymp05yzwgxuiwj3,0,0,0,1,2,2
97d9d021xpvaibaexe9zgba8fckekljaaeb/gso3,0,0,0,0,1,1
97db8803xpvaibaexe9d+re/yvwokgk9zilro4my,0,0,0,1,1,1
98857340xpvaibaexe+pdn88/1dr4igaxoqlhkux,0,0,0,0,0,1
999263acxpvaibaexe/r8wktwv7vqmotoeaycdaf,0,0,0,1,1,1
99d9e2cexpvaibaexe8vh+aqmuj+nhcvcn+mknd+,0,0,0,0,1,2
9a252138xpvaibaexe+23ctkf8qtdwoxkv65zbwe,0,0,1,1,1,1
9afd5c84xpvaibaexe//z7+cgdqlohd+wjys0uvi,0,0,0,0,1,1
9b210894xpvaibaexe+f+2tzheifcc7vgnpocamu,0,0,0,1,2,2
9b70107bxpvaibaexe9p78qxnh96y5ughxpar4kx,0,0,0,0,0,1
9c31de00xpvaibaexe86jqvsmool9heq1ka1r7+d,0,0,1,1,1,1
9c5c5c15xpvaibaexe+d5c9re7eglsun3d4zgxa/,0,1,2,2,2,2
9c9bb502xpvaibaexe91ucttbryag5hwwfofsc9o,0,0,0,0,1,1
9c9df586xpvaibaexe+ghnk19bpqc+r86wcu45mt,0,0,1,1,1,1
9ca2b07fxpvaibaexe8at9ggxzjnl4stnw4qlktc,0,0,1,2,3,3
9cbfa49cxpvaibaexe9rbqr8nwnz2isfif4wbhed,0,0,1,1,1,1
9d4dc194xpvaibaexe+pzu+khqbqyqh7gik4pjkc,0,0,0,1,1,1
9d6d1b86xpvaibaexe/s4a8qpv8nb2l3j53opioj,0,0,0,0,1,1
9d86b13dxpvaibaexe8lzysxhhit0wpim25ozma/,0,0,1,1,1,1
9e7720d0xpvaibaexe8nonh54mn6m/vxi2/pe5ko,0,0,0,0,0,1
9e8d0ce7xpvaibaexe+/1kyxp+fwelfnn49roazp,0,0,0,1,2,2
9f2783a6xpvaibaexe9e953jv3nnlvl344jitmaf,0,0,0,1,1,1
9f6ad189xpvaibaexe8sczujy2txhzfpnmrruqon,0,0,0,0,0,1
9fbbfedaxpvaibaexe9uaaz/yedhvdiavlasfm3n,0,0,0,0,0,1
9ffe25caxpvaibaexe+paovcd+lnowthpab4g+qg,0,0,0,0,0,1
a004b693xpvaibaexe93ubsm/ewamgf8e3j+lmmy,0,1,2,2,2,2
a087b8caxpvaibaexe96k1ab3b4ckezglp7zudq0,0,0,1,1,1,1
a11f7e03xpvaibaexe/qpfjjxkb5fuux5ahomd0p,0,0,1,1,1,1
a142d484xpvaibaexe+55g1ktuqha8linu/lmym4,0,0,1,2,2,2
a152dbf7xpvaibaexe+s9ax3ch11abdcfywuvfju,0,0,1,1,1,1
a184b613xpvaibaexe/fv9q7dzquwsmrqujobf38,0,1,2,3,3,3
a1c2794fxpvaibaexe/hqn1xesl1blvkoidigfdf,0,0,0,0,0,1
a1f1a0ebxpvaibaexe9vh8fj4r+4oqmcc3puvfwh,0,0,1,1,1,1
a23f32d0xpvaibaexe+nqszrbbpdt0l1lciqtcdu,0,0,0,1,1,1
a3126134xpvaibaexe8jwcgah0ijmio59owrx7rw,0,0,1,2,2,2
a32efa8expvaibaexe/cezixfrxnlr7u3ymgwb2n,0,1,1,2,3,4
a34a5122xpvaibaexe8srut3batkgudpn4nf+cwx,0,0,0,1,1,1
a35eedf1xpvaibaexe/z9l7tmg5texi+vwcz+apa,0,1,2,3,3,3
a37f289cxpvaibaexe8hxolow72zidi64kxsz6q8,0,0,0,0,0,1
a3b5ff12xpvaibaexe/kvp5zrg5wiweuxdkpaqc6,0,0,0,1,1,1
a3d44efexpvaibaexe/cjxaw79civqjvfb/mlhy/,0,0,1,2,2,2
a475a43cxpvaibaexe9ajzoptpw4tdauvze0de+y,0,0,0,0,0,1
a4da8d82xpvaibaexe85hklgqajy3al/0bm3uqty,0,0,1,1,2,3
a5768c30xpvaibaexe+qnco6wu+o6ho16o6zzhxl,0,0,0,0,0,1
a59ff9a4xpvaibaexe8yaj+xvjgnazggaiqc/www,0,0,0,0,0,1
a5ae07d7xpvaibaexe+fw1bg/roengyuayxi/rsm,0,0,0,1,2,2
a5bdd88cxpvaibaexe8ixn+mv9wqkkkowxncmmdn,0,0,1,2,3,3
a5c691c3xpvaibaexe+mmervxp1vaha9zkgghhv0,0,0,1,2,3,3
a5c940adxpvaibaexe+02rynj/uix/nt9ycujwyv,0,0,0,1,2,2
a5cfc3eaxpvaibaexe8v1/72rbobbqbhkdh9w0n8,0,0,0,0,0,1
a5defa28xpvaibaexe9kj+qyuurp6+diyiqxkhpn,0,0,1,1,2,3
a6169055xpvaibaexe81r7krch0uc4qkxdeowyb4,0,1,1,2,2,2
a65f6ee9xpvaibaexe8igdmjikw1wtxs5cflwsgb,0,0,0,0,1,1
a67ba68axpvaibaexe/nq24gaz1fectnhgcxmi35,0,1,1,1,1,1
a6c20bc5xpvaibaexe/t7clci88v7hjmkvisstxm,0,0,0,1,2,2
a6f6f2dfxpvaibaexe8091b3eu2czk6h6duebpnb,0,0,1,1,1,2
a748c662xpvaibaexe8zn2kkhdlfutrvtj+5qexp,0,1,2,3,3,3
a77e224expvaibaexe+uuz4qw1xos1chjcsxdmhf,0,0,0,0,0,1
a81eb87cxpvaibaexe+ndjhrhiaomszekmch2ju6,0,0,1,2,2,2
a8236254xpvaibaexe92hfjddfybw2a7pndqjuyc,0,1,2,3,3,3
a8f153c6xpvaibaexe9cyfl6d6btphgcj6z6ql7j,0,0,0,0,0,1
