Label,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,dien_tt,lop12_matinh,truong_thpt,xlhv_1,xlhv_2,xlhv_3,xlhv_4,xlhv_5,xlhv_6,drl_1,drl_2,drl_3,drl_4,drl_5,drl_6,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,sotchk_1,sotchk_2,sotchk_3,sotchk_4,sotchk_5,sotchk_6
DungHan,1991.0,1.0,khánh hoà,cntt2013,kttt,cqui,8.0,d480201,thpt,41.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Xuat Sac,Gioi,5.64,6.75,8.24,6.64,7.74,7.87,22.0,22.0,29.0,14.0,17.0,18.0
TreHan,1995.0,1.0,khánh hoà,ktpm0001,cnpm,cqui,8.0,d480103,thpt,41.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Trung Binh,Kha,Kha,Kha,6.95,5.06,6.02,6.99,7.09,7.99,22.0,25.0,21.0,18.0,15.0,23.0
DungHan,1995.0,0.0,gia lai,ktpm2013,cnpm,cqui,8.0,d480103,thpt,38.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Gioi,Kha,7.14,8.14,8.0,7.87,7.75,8.57,22.0,18.0,17.0,19.0,17.0,15.0
TreHan,1995.0,1.0,tiền giang,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,53.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Kha,Kha,6.14,5.42,4.31,6.23,6.44,6.68,22.0,19.0,18.0,26.0,19.0,23.0
TreHan,1995.0,1.0,vĩnh long,antt2013,mmt&tt,cqui,8.0,d480201,thpt,57.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Kem,Yeu,4.41,3.87,4.83,2.8,3.33,0.69,22.0,23.0,29.0,23.0,19.0,15.0
DungHan,1995.0,1.0,hồ chí minh,ktmt2013,ktmt,cqui,8.0,d520214,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Kha,Kha,Gioi,Kha,5.98,6.75,7.64,7.31,6.29,7.76,22.0,18.0,22.0,22.0,14.0,15.0
DungHan,1995.0,1.0,hồ chí minh,khmt2013,khmt,cqui,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Gioi,Kha,Gioi,Kha,5.16,5.55,6.74,6.16,6.89,7.29,22.0,22.0,27.0,31.0,21.0,19.0
TreHan,1995.0,0.0,bình dương,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,44.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Gioi,Gioi,Xuat Sac,Gioi,7.34,8.0,8.1,8.93,8.26,8.06,22.0,19.0,22.0,18.0,16.0,18.0
TreHan,1994.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Trung Binh,Kha,Kha,Kha,5.84,5.19,6.39,6.49,6.29,5.09,22.0,29.0,19.0,20.0,16.0,21.0
TreHan,1995.0,1.0,kiên giang,khmt0001,khmt,cqui,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Xuat Sac,Xuat Sac,Xuat Sac,Kha,5.25,6.73,6.29,6.59,6.32,7.14,22.0,26.0,24.0,19.0,20.0,20.0
DungHan,1995.0,1.0,lâm đồng,antt2013,mmt&tt,cqui,8.0,d480299,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,6.93,3.88,6.63,5.13,7.55,7.3,22.0,20.0,27.0,24.0,16.0,20.0
DungHan,1994.0,1.0,hồ chí minh,pmcl2013,cnpm,clc,8.0,d480103,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Kha,Kha,Kha,Gioi,7.32,7.3,8.06,8.81,7.86,8.26,22.0,22.0,25.0,15.0,18.0,15.0
TreHan,1995.0,1.0,hải dương,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Trung Binh,Kha,Kha,Gioi,Kha,6.25,3.98,5.32,6.43,7.24,7.71,22.0,26.0,22.0,34.0,16.0,15.0
DungHan,1995.0,1.0,kiên giang,antt2013,mmt&tt,cqui,8.0,d480299,thpt,54.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Xuat Sac,Kha,Kha,Kha,6.0,5.64,7.42,4.06,6.2,7.34,22.0,24.0,19.0,17.0,21.0,20.0
TreHan,1995.0,1.0,trà vinh,mmtt0001,mmt&tt,cqui,8.0,d480299,thpt,58.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Kha,Gioi,Kha,Kha,6.8,6.5,7.96,8.74,8.68,8.0,22.0,20.0,24.0,21.0,16.0,13.0
TreHan,1995.0,0.0,hồ chí minh,ktpm0001,cnpm,cqui,8.0,d480103,thpt,49.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Gioi,Xuat Sac,Gioi,6.59,7.24,7.17,7.17,6.07,6.81,22.0,21.0,21.0,19.0,15.0,19.0
TreHan,1995.0,0.0,hồ chí minh,mmtt2013,mmt&tt,cqui,8.0,d480102,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Gioi,Kha,Trung Binh,Yeu,6.73,5.38,6.34,5.5,6.91,2.66,22.0,30.0,25.0,27.0,14.0,19.0
TreHan,1995.0,1.0,nam định,ktpm0001,cnpm,cqui,8.0,d480103,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Trung Binh,Kha,Kha,Trung Binh,6.16,5.66,5.89,6.57,5.36,1.77,22.0,19.0,22.0,25.0,16.0,18.0
TreHan,1995.0,1.0,hồ chí minh,ktmt0001,ktmt,cqui,8.0,d520214,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Yeu,Kha,Kha,Kha,6.45,6.47,6.62,6.64,5.5,7.35,22.0,19.0,21.0,23.0,16.0,19.0
TreHan,1995.0,1.0,quảng nam,ktmt0001,ktmt,cqui,8.0,d520214,thpt,34.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Gioi,Kha,4.64,3.32,6.54,4.91,6.65,5.65,18.0,22.0,24.0,27.0,21.0,24.0
TreHan,1995.0,1.0,hải dương,mmtt0001,mmt&tt,cqui,8.0,d480299,thpt,21.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Gioi,Kha,Kha,Kha,7.36,5.64,7.35,7.17,6.29,6.48,18.0,21.0,24.0,25.0,18.0,14.0
TreHan,1995.0,1.0,bình thuận,cntt0001,kttt,cqui,8.0,d480201,thpt,47.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Xuat Sac,Kha,Gioi,Kha,6.25,5.26,7.15,6.49,6.96,7.14,22.0,21.0,20.0,24.0,14.0,14.0
TreHan,1995.0,1.0,hồ chí minh,ktmt0001,ktmt,cqui,8.0,d520214,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Kem,Kha,Kha,Kha,5.23,5.67,5.8,6.22,6.44,5.72,22.0,32.0,22.0,27.0,21.0,21.0
TreHan,1995.0,1.0,trà vinh,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,58.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Xuat Sac,Kha,Kha,Gioi,6.59,5.22,7.38,8.13,8.02,7.97,22.0,18.0,24.0,21.0,20.0,19.0
DungHan,1995.0,1.0,quảng bình,khmt2013,khmt,cqui,8.0,d480101,thpt,31.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Kha,Xuat Sac,Kha,Xuat Sac,Gioi,5.7,5.92,7.75,7.47,8.33,8.3,22.0,19.0,22.0,25.0,22.0,16.0
TreHan,1995.0,1.0,hồ chí minh,cttt2013,httt,cttt,8.0,d480104,thpt,2.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Trung Binh,Trung Binh,Trung Binh,Kha,Kha,6.21,4.75,6.94,6.29,6.78,7.64,19.0,16.0,16.0,21.0,16.0,19.0
TreHan,1995.0,1.0,quảng ngãi,ktpm0001,cnpm,clc,8.0,d480103,thpt,35.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Trung Binh,Gioi,Trung Binh,Gioi,Trung Binh,6.11,4.55,5.83,6.14,6.52,5.11,18.0,22.0,23.0,17.0,19.0,22.0
DungHan,1995.0,1.0,lâm đồng,httt2013,httt,cqui,8.0,d480104,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Kha,Yeu,Trung Binh,Trung Binh,Kem,5.86,6.47,7.02,4.96,6.77,7.33,22.0,19.0,25.0,27.0,26.0,15.0
TreHan,1995.0,1.0,quảng ngãi,ktmt0001,ktmt,cqui,8.0,d520214,thpt,35.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Kha,Trung Binh,Kha,Trung Binh,5.31,3.64,5.36,3.31,5.5,4.8,18.0,21.0,21.0,21.0,21.0,27.0
TreHan,1995.0,1.0,lâm đồng,mmtt0001,mmt&tt,cqui,8.0,d480299,thpt,42.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Gioi,Xuat Sac,Gioi,Kha,6.23,7.69,7.58,7.06,8.13,8.03,22.0,21.0,24.0,17.0,18.0,17.0
DungHan,1995.0,1.0,quảng ngãi,khmt2013,khmt,cqui,8.0,d480101,thpt,35.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Gioi,Gioi,Xuat Sac,Kha,6.52,4.48,6.0,7.25,8.08,7.9,22.0,21.0,26.0,23.0,20.0,23.0
TreHan,1994.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Kem,Kha,Kem,Kem,4.82,3.69,4.54,5.16,3.44,3.85,22.0,28.0,30.0,28.0,21.0,14.0
DungHan,1995.0,1.0,bến tre,httt2013,httt,cqui,8.0,d480104,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Gioi,Gioi,Xuat Sac,Kha,7.25,8.16,8.24,8.3,7.39,8.1,22.0,29.0,23.0,18.0,18.0,16.0
TreHan,1995.0,1.0,hồ chí minh,ktmt2013,ktmt,cqui,8.0,d520214,thpt,46.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Kem,Kem,4.43,3.89,4.16,5.31,2.33,1.4,22.0,18.0,19.0,30.0,20.0,16.0
TreHan,1995.0,1.0,hồ chí minh,pmcl2013,cnpm,clc,8.0,d480103,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Kem,Trung Binh,Kha,Kha,5.82,4.39,4.73,5.7,5.61,6.18,22.0,22.0,20.0,12.0,22.0,22.0
DungHan,1995.0,1.0,đồng tháp,ktpm2013,cnpm,cqui,8.0,d480103,thpt,50.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Gioi,Gioi,Gioi,8.11,8.61,9.0,8.23,7.63,8.89,22.0,18.0,25.0,19.0,15.0,15.0
DungHan,1995.0,0.0,tiền giang,mmtt2013,mmt&tt,cqui,8.0,d480102,thpt,57.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Kha,Xuat Sac,Xuat Sac,Gioi,7.09,6.41,7.55,8.26,7.34,7.76,22.0,22.0,21.0,18.0,14.0,15.0
TreHan,1995.0,1.0,lâm đồng,ktpm0001,cnpm,cqui,8.0,d480103,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Kha,Gioi,Gioi,Kha,6.82,7.38,6.61,7.87,8.22,7.25,22.0,29.0,28.0,17.0,17.0,15.0
TreHan,1995.0,1.0,ninh thuận,khmt0001,khmt,cqui,8.0,d480101,thpt,45.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Xuat Sac,Kha,Xuat Sac,Trung Binh,5.91,6.05,8.1,6.88,7.27,7.35,22.0,22.0,21.0,17.0,19.0,22.0
DungHan,1995.0,1.0,quảng ngãi,antn2013,mmt&tt,kstn,8.0,d480299,thpt,35.0,gdtx,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,7.95,8.29,8.53,8.71,7.21,8.76,22.0,21.0,18.0,18.0,18.0,17.0
DungHan,1995.0,1.0,lâm đồng,mmtt2013,mmt&tt,cqui,8.0,d480102,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Trung Binh,Kha,Kha,Gioi,Kha,6.48,5.98,6.84,6.19,7.91,8.11,22.0,25.0,22.0,17.0,17.0,16.0
TreHan,1995.0,1.0,an giang,ktpm0001,cnpm,cqui,8.0,d480103,thpt,51.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Trung Binh,Yeu,Kem,Kha,Trung Binh,6.2,4.74,1.91,4.7,6.79,5.26,22.0,21.0,21.0,28.0,24.0,18.0
TreHan,1995.0,0.0,bà rịa - vũng tàu,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,52.0,gdtx,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,7.8,7.44,7.34,8.69,7.94,8.11,22.0,26.0,22.0,17.0,14.0,15.0
DungHan,1995.0,1.0,hồ chí minh,khtn2013,khmt,cntn,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Xuat Sac,Gioi,7.45,7.86,8.62,8.5,8.68,8.48,22.0,18.0,25.0,15.0,20.0,16.0
TreHan,1995.0,1.0,hồ chí minh,ktpm0001,cnpm,clc,8.0,d480103,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Gioi,Kha,6.2,7.52,7.33,6.96,7.64,8.14,22.0,22.0,23.0,22.0,18.0,19.0
DungHan,1995.0,1.0,thừa thiên - huế,antn2013,mmt&tt,kstn,8.0,d480299,thpt,33.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Gioi,Gioi,8.34,8.36,8.35,8.28,8.48,7.97,22.0,21.0,18.0,18.0,18.0,17.0
TreHan,1994.0,1.0,kiên giang,httt0001,httt,cqui,8.0,d480104,thpt,54.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Xuat Sac,Gioi,Gioi,6.06,5.93,6.37,6.12,6.37,7.28,18.0,28.0,27.0,24.0,23.0,21.0
TreHan,1995.0,1.0,kon tum,ktmt0001,ktmt,cqui,8.0,d520214,thpt,36.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Yeu,Trung Binh,Trung Binh,Yeu,Trung Binh,4.33,4.52,5.74,4.08,5.35,5.38,18.0,22.0,23.0,17.0,19.0,25.0
DungHan,1995.0,1.0,vĩnh long,ktmt2013,ktmt,cqui,8.0,d520214,thpt,57.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Xuat Sac,Trung Binh,Xuat Sac,Kha,4.92,5.07,5.76,5.63,6.49,7.59,18.0,21.0,19.0,21.0,20.0,30.0
TreHan,1995.0,1.0,tây ninh,ktmt0001,ktmt,cqui,8.0,d520214,thpt,46.0,gdtx,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Gioi,Gioi,Kha,Kha,5.41,4.68,7.69,7.06,6.73,7.27,22.0,19.0,21.0,27.0,16.0,19.0
TreHan,1995.0,0.0,ninh thuận,khmt0001,khmt,cqui,8.0,d480101,thpt,45.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Xuat Sac,Gioi,Kha,Gioi,Kha,5.02,6.13,5.63,5.33,7.52,6.86,22.0,28.0,24.0,26.0,20.0,19.0
DungHan,1995.0,1.0,hồ chí minh,pmcl2013,cnpm,clc,8.0,d480103,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Gioi,Xuat Sac,Xuat Sac,7.93,8.45,8.72,9.26,8.64,9.15,22.0,22.0,23.0,17.0,18.0,15.0
DungHan,1995.0,1.0,kiên giang,khmt2013,khmt,cqui,8.0,d480101,thpt,54.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Gioi,Gioi,Xuat Sac,Xuat Sac,6.86,7.2,8.15,8.12,7.6,8.26,22.0,22.0,23.0,17.0,16.0,20.0
DungHan,1995.0,1.0,cần thơ,ktpm2013,cnpm,cqui,8.0,d480103,thpt,55.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Kha,Gioi,Trung Binh,Kha,6.27,6.5,6.04,8.04,8.41,6.5,22.0,19.0,23.0,20.0,17.0,17.0
DungHan,1995.0,0.0,đồng nai,tmđt2013,httt,cqui,8.0,d480104,thpt,48.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Xuat Sac,Kha,Xuat Sac,Kha,6.8,6.39,7.52,6.91,7.6,7.44,22.0,19.0,24.0,19.0,26.0,29.0
TreHan,1994.0,1.0,hồ chí minh,cntt0001,kttt,cqui,8.0,d480201,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Trung Binh,Kha,Trung Binh,Yeu,Trung Binh,5.34,3.86,6.3,4.17,5.56,3.05,22.0,29.0,22.0,30.0,18.0,28.0
DungHan,1995.0,1.0,bình thuận,httt2013,httt,cqui,8.0,d480104,thpt,47.0,chuyên,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Trung Binh,Xuat Sac,Kha,Gioi,Kha,7.11,7.26,7.57,7.98,7.23,8.33,22.0,19.0,21.0,24.0,25.0,19.0
TreHan,1995.0,0.0,lâm đồng,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,42.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Kha,Kha,Kha,8.05,7.21,7.44,7.86,7.3,8.28,22.0,19.0,20.0,18.0,17.0,15.0
DungHan,1995.0,0.0,bình thuận,ktpm2013,cnpm,cqui,8.0,d480103,thpt,47.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Trung Binh,Kha,Trung Binh,Kha,5.93,6.94,6.39,6.39,6.76,5.81,22.0,25.0,23.0,24.0,17.0,17.0
TreHan,1995.0,1.0,cần thơ,httt0001,httt,cqui,8.0,d480104,thpt,55.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Xuat Sac,Trung Binh,5.3,6.21,5.56,4.14,6.09,2.86,22.0,19.0,24.0,26.0,30.0,25.0
DungHan,1995.0,1.0,khánh hoà,khtn2013,khmt,cntn,8.0,d480101,thpt,41.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Gioi,Xuat Sac,Gioi,Xuat Sac,Kha,7.05,7.95,7.88,7.72,8.78,8.2,22.0,19.0,25.0,18.0,20.0,16.0
TreHan,1995.0,1.0,thanh hoá,ktmt0001,ktmt,cqui,8.0,d520214,thpt,44.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Gioi,Kha,Xuat Sac,Kha,4.25,3.12,6.27,6.05,6.76,7.45,18.0,25.0,22.0,34.0,20.0,19.0
TreHan,1995.0,1.0,nghệ an,cntt0001,kttt,cqui,8.0,d480201,thpt,29.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Trung Binh,Kha,Kha,Trung Binh,5.36,5.12,5.41,6.3,6.33,5.86,18.0,21.0,23.0,28.0,18.0,18.0
TreHan,1995.0,1.0,quảng ngãi,httt0001,httt,cqui,8.0,d480104,thpt,35.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Trung Binh,Kha,6.64,7.73,8.02,6.54,6.28,7.24,18.0,20.0,24.0,22.0,27.0,19.0
TreHan,1995.0,1.0,bình định,ktpm0001,cnpm,cqui,8.0,d480103,thpt,37.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Gioi,Kha,Gioi,Kha,6.97,5.74,7.0,5.38,5.59,4.2,18.0,21.0,24.0,22.0,17.0,21.0
TreHan,1993.0,1.0,hồ chí minh,khmt0001,khmt,cqui,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Trung Binh,Trung Binh,Trung Binh,Xuat Sac,Yeu,Kha,4.8,6.54,6.04,6.61,6.83,7.12,22.0,28.0,26.0,15.0,23.0,18.0
TreHan,1995.0,1.0,hồ chí minh,khmt0001,khmt,cqui,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Gioi,Trung Binh,Yeu,Trung Binh,5.98,6.77,7.05,7.34,7.65,7.93,22.0,15.0,20.0,16.0,13.0,19.0
DungHan,1995.0,1.0,thừa thiên - huế,ktmt2013,ktmt,cqui,8.0,d520214,thpt,33.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Kha,Kha,Trung Binh,Kha,Trung Binh,6.25,5.84,2.67,5.16,6.31,7.42,18.0,19.0,23.0,20.0,21.0,27.0
DungHan,1995.0,1.0,bình dương,mmtt2013,mmt&tt,cqui,8.0,d480102,thpt,44.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,7.57,6.84,7.9,8.09,8.14,8.02,22.0,19.0,20.0,21.0,16.0,19.0
DungHan,1995.0,1.0,hồ chí minh,mmtt2013,mmt&tt,cqui,8.0,d480102,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Xuat Sac,Kha,Kha,Gioi,Gioi,Kha,6.61,6.72,6.34,8.12,7.99,8.3,18.0,18.0,25.0,21.0,14.0,18.0
TreHan,1995.0,1.0,thanh hoá,ktpm0001,cnpm,cqui,8.0,d480103,thpt,28.0,khác,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Kha,Gioi,Kha,Gioi,Kha,7.78,6.02,7.93,7.04,3.56,6.86,18.0,24.0,21.0,24.0,14.0,15.0
TreHan,1995.0,1.0,bình thuận,mmtt0001,mmt&tt,cqui,8.0,d480102,thpt,47.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Kha,Gioi,Trung Binh,Kha,Gioi,Kha,7.33,6.57,6.07,6.14,7.58,6.69,18.0,22.0,21.0,21.0,14.0,26.0
DungHan,1993.0,1.0,hà nam,khtn2013,khmt,cntn,8.0,d480101,thpt,2.0,thpt,0.0,0.0,0.0,0.0,0.0,0.0,Gioi,Gioi,Kha,Gioi,Xuat Sac,Xuat Sac,7.52,8.64,8.71,8.44,9.08,9.34,22.0,22.0,26.0,14.0,20.0,20.0
