mssv,hocky,namhoc,drl,rank_drl
f94de2cdxpvaibaexe+yu1j0ocviqvvrg08bkchw,2,2013,85,Gioi
02c4644fxpvaibaexe+wmtnhlfgiwhu0vsxu3tyn,2,2013,87,Gioi
c06d6804xpvaibaexe/loccskaoiozn1wuehqe1s,2,2013,72,Kha
2049e34dxpvaibaexe83v/kfvw2bbsm6mmpn3kn9,2,2013,99,Xuat Sac
b646c3c8xpvaibaexe83v/kfvw2bbvmhvt6fez4k,2,2013,100,Xuat Sac
1d74c87fxpvaibaexe8y+/3ur2pktkefwioefkn0,2,2013,59,Trung Binh
c1306640xpvaibaexe+nzbq3b0xehx/ozbtzk5f7,2,2013,54,Trung Binh
2bba5161xpvaibaexe9jjgnhrmbjfkh/y5p5juky,2,2013,73,Kha
2bd8acbaxpvaibaexe9fafwyru+nps7tcct3lrtv,2,2013,69,Kha
dac3737axpvaibaexe/xbblewrhgqz1rzdrlzrgy,2,2013,76,Kha
90db40ebxpvaibaexe8vekuw4elehq65j34d9pks,2,2013,100,Xuat Sac
25af24e3xpvaibaexe+/ekvxk98kbwsdx1ochstz,2,2013,69,Kha
291a2f59xpvaibaexe9jdlha4z2ghni7amxroxt7,2,2013,54,Trung Binh
329b4dbfxpvaibaexe9jdlha4z2ghekrdkz3k2n4,2,2013,63,Trung Binh
d42204faxpvaibaexe9jdlha4z2ghkwe3jwl7+ut,2,2013,86,Gioi
0113b184xpvaibaexe+tfgedwynnvzzmdvygpoeh,2,2013,78,Kha
e92c604fxpvaibaexe+tfgedwynnvuq2ahxw4uwh,2,2013,83,Gioi
09d81761xpvaibaexe8ydgsbcmjqa/3yay3pxzop,2,2013,60,Trung Binh
48fc82a9xpvaibaexe/zhdidegqctpngd2seaeic,2,2013,52,Trung Binh
bc4d7362xpvaibaexe/zhdidegqcttuojqwtyjvx,2,2013,91,Xuat Sac
bb1a9ef5xpvaibaexe/uh+ehskmsjqysgck5fhrj,2,2013,86,Gioi
711fa2afxpvaibaexe9upvu5dvuc9kwcjjs/go5v,2,2013,76,Kha
f5d3066axpvaibaexe+z7kfnhylttkycmifpwrek,2,2013,67,Kha
af12ad92xpvaibaexe/x/wixypgyaoocmigpndia,2,2013,67,Kha
d909979expvaibaexe9aucnq7/14ag8bgpx7zshb,2,2013,49,Yeu
eb088421xpvaibaexe9aucnq7/14amv4g9ksrfjr,2,2013,100,Xuat Sac
535ee7d3xpvaibaexe9/su+qlcydmqv4b2iju0yp,2,2013,74,Kha
