mssv,dien_tt,lop12_matinh,truong_thpt
ae78a5c2xpvaibaexe+yu1j0ocviqv7up2ksrfnx,thpt,44.0,thpt
caf1c679xpvaibaexe+yu1j0ocviqc3aovuiyn2y,thpt,41.0,thpt
9e398853xpvaibaexe+yu1j0ocviqeu3f7/hmvao,thpt,2.0,thpt
f94de2cdxpvaibaexe+yu1j0ocviqvvrg08bkchw,thpt,35.0,gdtx
fa254441xpvaibaexe+yu1j0ocviqedypspz8aww,thpt,48.0,thpt
eb87a112xpvaibaexe+yu1j0ocviqsbxkj24nkqq,thpt,48.0,thpt
a4eeb45expvaibaexe+wmtnhlfgiwjn3iuw7uj8e,thpt,51.0,thpt
02c4644fxpvaibaexe+wmtnhlfgiwhu0vsxu3tyn,thpt,31.0,chuyên
b3a50c98xpvaibaexe+wmtnhlfgiwn75t0yboedj,thpt,51.0,thpt
c4b57b74xpvaibaexe+wmtnhlfgiwrntvgutcknx,thpt,42.0,thpt
eafb8611xpvaibaexe+wmtnhlfgiwhutxutju+op,thpt,45.0,chuyên
ead40691xpvaibaexe+wmtnhlfgiwtb87ctjmzyb,thpt,52.0,thpt
6b2f14ccxpvaibaexe+wmtnhlfgiwsa71h+ulll3,thpt,2.0,thpt
66b24040xpvaibaexe+wmtnhlfgiwn9isiemrgpv,thpt,45.0,thpt
08890ff6xpvaibaexe+wmtnhlfgiwlwvqajnsgpn,thpt,2.0,thpt
177e1625xpvaibaexe+wmtnhlfgiwqlkpqjcrqi5,thpt,40.0,thpt
2974f9d5xpvaibaexe+lwq621apacrtrvvgbsurf,thpt,50.0,thpt
920a152expvaibaexe+lwq621apacfvqpvb0aqxr,thpt,44.0,thpt
12a9523fxpvaibaexe+lwq621apacfiody2wojet,thpt,58.0,chuyên
e62a53dexpvaibaexe+lwq621apacberjd/pd6me,thpt,61.0,thpt
2fb67786xpvaibaexe+lwq621apacelpphx2sj6r,thpt,38.0,thpt
c34827c5xpvaibaexe+lwq621apacyn/g0l78ir9,thpt,37.0,thpt
0fc485b7xpvaibaexe+lwq621apacwnsixsrdxsm,thpt,37.0,thpt
b3134f24xpvaibaexe+lwq621apaczlqatrpnif4,thpt,37.0,thpt
45213e72xpvaibaexe/loccskaoio/d9phcrupc/,thpt,44.0,thpt
132730f3xpvaibaexe/loccskaoio3eucdxcyg9f,thpt,42.0,thpt
a7480f67xpvaibaexe/loccskaoio75myb5p3ldq,thpt,40.0,thpt
f751be36xpvaibaexe/loccskaoio+4lauqrfapr,thpt,2.0,thpt
91f785abxpvaibaexe/loccskaoio5y4gbvvurqu,thpt,2.0,chuyên
83b76c01xpvaibaexe/loccskaoio2k46r7t4qnt,thpt,48.0,thpt
c06d6804xpvaibaexe/loccskaoiozn1wuehqe1s,thpt,2.0,thpt
0ea8d3d2xpvaibaexe/loccskaoiozxorymghvil,thpt,57.0,thpt
979a928axpvaibaexe/loccskaoio+majg9wgnrj,thpt,32.0,thpt
9fda2448xpvaibaexe/loccskaoio4pc+m4anvn4,thpt,34.0,thpt
7a7166daxpvaibaexe83v/kfvw2bbz0o/kvhzc30,thpt,36.0,thpt
29046716xpvaibaexe83v/kfvw2bbr3wivsbjf7n,thpt,44.0,thpt
741a5568xpvaibaexe83v/kfvw2bbx1pd9yzofg+,thpt,42.0,thpt
2049e34dxpvaibaexe83v/kfvw2bbsm6mmpn3kn9,thpt,40.0,thpt
b646c3c8xpvaibaexe83v/kfvw2bbvmhvt6fez4k,thpt,42.0,thpt
27c73c4cxpvaibaexe83v/kfvw2bbek/nsgnfc2g,thpt,63.0,thpt
80790c23xpvaibaexe83v/kfvw2bbdhxazukwyd8,thpt,50.0,thpt
9caf3cdbxpvaibaexe83v/kfvw2bbf/inpsmd2jy,thpt,52.0,thpt
cab6d6adxpvaibaexe+1j/aqdkpm27nzkkmnxryy,thpt,34.0,thpt
e95e7c6dxpvaibaexe+1j/aqdkpm22dhf6p99fdj,thpt,50.0,chuyên
2c9e3006xpvaibaexe+1j/aqdkpm2yvdjmi0fdgl,thpt,2.0,thpt
50f45e0fxpvaibaexe+1j/aqdkpm28+w/hggnhn2,thpt,2.0,thpt
a09f2752xpvaibaexe+1j/aqdkpm215n3vvhdq2x,thpt,56.0,thpt
a92e401axpvaibaexe+1j/aqdkpm23n3jq7am/ra,thpt,52.0,gdtx
42eb4a9dxpvaibaexe+1j/aqdkpm28lnl/yx0gv5,thpt,37.0,thpt
7420f19fxpvaibaexe+1j/aqdkpm27otdgzsa+ut,thpt,55.0,thpt
632326bexpvaibaexe+1j/aqdkpm23xs0ljo7elx,thpt,50.0,thpt
781b05edxpvaibaexe+1j/aqdkpm28lybjvxl6wn,thpt,2.0,thpt
52a13a56xpvaibaexe8y+/3ur2pktbzkglmhndae,thpt,44.0,thpt
6243a4c3xpvaibaexe8y+/3ur2pktkxbgdambgvn,thpt,2.0,thpt
70688be9xpvaibaexe8y+/3ur2pktp74qdoblprc,thpt,43.0,gdtx
fb623556xpvaibaexe8y+/3ur2pktnbh/fe4kqis,thpt,49.0,thpt
8850b56axpvaibaexe8y+/3ur2pktm01dracefoq,thpt,53.0,thpt
2c674c46xpvaibaexe8y+/3ur2pktognxs8ofvnz,thpt,37.0,thpt
52f1243bxpvaibaexe8y+/3ur2pktdwl/5oa1ytb,thpt,36.0,thpt
3f6744f0xpvaibaexe8y+/3ur2pktisbbfdhrrin,thpt,30.0,thpt
1d74c87fxpvaibaexe8y+/3ur2pktkefwioefkn0,thpt,35.0,thpt
eb858a9expvaibaexe+kwir/vxjl06gmqan1u5lh,thpt,43.0,chuyên
3e479342xpvaibaexe+kwir/vxjl01d1beeukzan,thpt,42.0,thpt
797d94bcxpvaibaexe+kwir/vxjl0xams344urfm,thpt,40.0,thpt
e8100f85xpvaibaexe+kwir/vxjl06p43mqkwkpk,thpt,43.0,thpt
52b1cc2dxpvaibaexe+kwir/vxjl0w+fyuw1abq7,thpt,40.0,thpt
15c33cc5xpvaibaexe+kwir/vxjl0wyohop14jzj,thpt,41.0,thpt
52d6e13axpvaibaexe+kwir/vxjl04mdfk2cgeql,thpt,38.0,thpt
9a2b00e7xpvaibaexe+kwir/vxjl0y8ceqb0jdrp,thpt,2.0,thpt
cf807904xpvaibaexe+kwir/vxjl0xc3ghl3xt9p,thpt,2.0,thpt
6426d277xpvaibaexe+kwir/vxjl04gqln5sec66,thpt,41.0,thpt
40f7e8d0xpvaibaexe+nzbq3b0xehfcwxlmoc4pj,thpt,48.0,thpt
c307f053xpvaibaexe+nzbq3b0xehx8pabyu6iv1,thpt,40.0,thpt
23a5ce7expvaibaexe+nzbq3b0xehb5k9/vzpsul,thpt,49.0,thpt
0e8ecfa9xpvaibaexe+nzbq3b0xehybjv4wky1zv,thpt,51.0,chuyên
92ca755cxpvaibaexe+nzbq3b0xehuef59ddved4,thpt,33.0,thpt
b4303cd0xpvaibaexe+nzbq3b0xehvoljxuzryzx,thpt,37.0,thpt
a7916d60xpvaibaexe+nzbq3b0xehxdvky778k5c,thpt,44.0,thpt
f188f59axpvaibaexe+nzbq3b0xehx0gn3eygcol,thpt,48.0,thpt
c1306640xpvaibaexe+nzbq3b0xehx/ozbtzk5f7,thpt,2.0,thpt
66389e7fxpvaibaexe9jjgnhrmbjflqzajn7gwvb,thpt,2.0,thpt
2bba5161xpvaibaexe9jjgnhrmbjfkh/y5p5juky,thpt,43.0,thpt
4e60f742xpvaibaexe9jjgnhrmbjfaqoiehyy/vf,thpt,2.0,thpt
62654f5dxpvaibaexe9jjgnhrmbjfpizxxezlnxy,thpt,39.0,thpt
45b8d2afxpvaibaexe9jjgnhrmbjfdlsntjouvmt,thpt,38.0,thpt
86b0b88fxpvaibaexe9jjgnhrmbjfithgymg4ggs,thpt,30.0,thpt
567e5b30xpvaibaexe9jjgnhrmbjfchpxrna9wkt,thpt,58.0,chuyên
19aa9696xpvaibaexe9jjgnhrmbjfoyfng9lpbay,thpt,41.0,thpt
98fad5f6xpvaibaexe9fafwyru+nptbcsqhyrp9l,thpt,43.0,thpt
6e351582xpvaibaexe9fafwyru+nprk3ew8optya,thpt,33.0,thpt
cc0d41f6xpvaibaexe9fafwyru+npmqir62vbh95,thpt,25.0,thpt
667d7118xpvaibaexe9fafwyru+npl+ytdtch0qt,thpt,40.0,thpt
5db7334bxpvaibaexe9fafwyru+nplkr/fpgemw3,thpt,41.0,thpt
2bd8acbaxpvaibaexe9fafwyru+nps7tcct3lrtv,thpt,2.0,thpt
061a670axpvaibaexe9fafwyru+npkvjumt/czs9,thpt,35.0,gdtx
9d375e5axpvaibaexe9fafwyru+npqdttxck8k1h,thpt,48.0,thpt
bb711deaxpvaibaexe9fafwyru+npi5+4ho3ngdi,thpt,31.0,thpt
105a1756xpvaibaexe9kdsvv3crkmqk+9a3jnn+s,thpt,48.0,thpt
4efdd87axpvaibaexe9kdsvv3crkmwdqwqovdwm7,thpt,40.0,thpt
93bb9690xpvaibaexe9kdsvv3crkmxp6kszgklsu,thpt,43.0,thpt
